ID,Name,Category,Price Tier,Neighborhood,Opening Hours,Closing Hours,Average Rating,Good for Kids
347,Foggy House,Thai,Cheap,Greenpoint,11:00,19:00,3,False
348,Flavorful Grill & Bar,American,Cheap,Prospect Heights,09:30,23:30,4,True
349,Aromatic Deli,Mexican,Cheap,Tompkinsville,11:00,22:00,2,True
350,Brick Oven Hideaway,Indian,Expensive,Ridgewood,10:30,20:00,2,True
351,Savory Coffeehouse,Indian,Expensive,Williamsburg,08:30,14:30,1,True
352,Zesty Ramen House,Mediterranean,Cheap,Tompkinsville,10:00,22:30,1,True
353,Savory Speakeasy,Mexican,Cheap,Great Kills,12:30,22:00,4,False
354,Hearty Vineyard,Mediterranean,Cheap,Pelham Bay,08:30,19:00,4,True
355,Sweet Pea Smoothie Bar,Italian,Medium,Williamsburg,08:30,22:00,4,True
356,Under the Stars Pub,American,Medium,Upper East Side,10:00,17:00,3,False
357,Fresh Diner,Indian,Medium,Throgs Neck,11:00,17:00,1,False
358,Wholesome Vineyard,Indian,Expensive,Bushwick,10:00,18:30,0,True
359,Zesty Gelato Shop,Italian,Cheap,Astoria,08:30,17:30,1,False
360,Vintage Diner,Indian,Expensive,Sunnyside,12:00,21:00,2,False
361,Delectable Place,Indian,Medium,Fordham,09:00,22:00,0,True
362,Fusion Bakery,American,Medium,Brooklyn Heights,12:00,20:30,0,False
363,Sapphire Lounge,Japanese,Medium,Stapleton,09:30,16:30,4,True
364,Aromatic Kitchenette,French,Cheap,Harlem,11:00,22:30,2,False
365,Classic Cantina,Italian,Cheap,Brooklyn Heights,11:30,23:30,1,True
366,Gastronomic Cookie Shop,Thai,Expensive,Greenwich Village,09:30,22:00,5,False
367,Lakefront Oyster Bar,Italian,Medium,Fordham,09:00,17:30,3,True
368,Vintage Speakeasy,Italian,Medium,Stapleton,08:00,20:00,0,False
369,Maplewood Gelato Shop,Indian,Cheap,Bedford-Stuyvesant,11:00,19:00,5,True
370,Serenity Lounge,Mexican,Cheap,Ridgewood,12:00,23:00,3,True
371,Zen Bakery,Thai,Expensive,Annadale,08:00,15:30,2,False
372,Summit Brewpub,French,Expensive,Bushwick,10:30,20:00,2,False
373,Vintage Place,Mexican,Medium,Upper East Side,09:30,19:00,2,False
374,Wholesome Gelato Shop,Mediterranean,Cheap,Bedford-Stuyvesant,10:30,20:00,0,True
375,Heavenly Cafeteria,Thai,Expensive,Prospect Heights,09:30,23:30,5,True
376,Tropical Joint,Mediterranean,Cheap,Greenwich Village,08:30,15:00,1,True
377,Sizzling Chophouse,American,Cheap,Eltingville,08:00,21:30,3,False
378,Quaint Place,French,Expensive,Stapleton,12:30,19:30,5,True
379,Under the Stars House,Chinese,Expensive,Forest Hills,08:30,22:30,1,True
380,Family Bagel Shop,American,Expensive,Annadale,10:30,18:00,5,False
381,Oceanfront Kitchenette,Chinese,Expensive,Flushing,09:30,22:30,1,True
382,Sandy Beach Wine Bar,Italian,Medium,Bushwick,08:00,18:30,2,True
383,Moonlight Noodle House,Thai,Cheap,Morris Park,12:30,21:00,0,False
384,Retro Grill & Bar,Mediterranean,Medium,Upper West Side,08:30,18:30,4,False
385,Yummy Tavern,Chinese,Expensive,Astoria,12:30,19:00,4,False
386,Zen Tavern,Mexican,Cheap,Upper East Side,09:30,15:00,4,True
387,Royal Cantina,Mexican,Expensive,Williamsburg,09:30,15:00,2,False
388,Maplewood Ramen House,Mexican,Medium,Hunts Point,10:30,18:00,3,False
389,Aromatic Cafeteria,Chinese,Expensive,Sunnyside,08:30,14:30,3,False
390,Sensational Grill,Mexican,Cheap,Park Slope,12:30,19:30,5,True
391,Golden Gate Brasserie,Japanese,Expensive,Belmont,09:30,21:30,5,True
392,Tasty Lounge,Japanese,Expensive,Midtown Manhattan,12:30,23:00,5,False
393,Fresh Kitchenette,Mexican,Expensive,Pelham Bay,09:30,22:00,5,True
394,Savory Doughnut Shop,French,Cheap,Jackson Heights,11:00,17:00,2,False
395,Countryside Brasserie,French,Medium,Pelham Bay,09:30,16:30,4,True
396,Sapphire Noodle House,Mediterranean,Cheap,Woodside,09:00,21:00,1,False
397,Crisp Inn,French,Cheap,Great Kills,11:30,22:00,5,True
398,Delicious Pizzeria,Indian,Medium,Long Island City,10:30,18:00,5,True
399,Rainforest Frozen Yogurt Shop,Mexican,Cheap,Brooklyn Heights,12:30,19:30,1,True
400,Exquisite Cuisine,Indian,Cheap,Forest Hills,10:00,19:30,4,True
401,Delicious Bistro,Japanese,Medium,Greenpoint,10:00,23:30,4,False
402,Coastal Deli,Indian,Expensive,Astoria,09:30,19:30,5,True
403,Moonlight Place,Indian,Cheap,St. George,12:00,21:00,4,True
404,Satisfying Ramen House,Thai,Medium,Bushwick,08:00,16:00,2,False
405,Family Bakery Cafe,American,Expensive,Sunnyside,08:00,19:30,3,False
406,Savor Ice Cream Parlor,Mexican,Cheap,Bushwick,12:30,22:00,1,False
407,Palm Tree Eatery,Mediterranean,Medium,New Dorp,12:00,23:30,0,True
408,Golden Gate Lounge,Mexican,Cheap,Bushwick,11:30,19:30,5,False
409,Exquisite Fish House,Italian,Cheap,Park Slope,11:00,18:00,1,False
410,Coconut Cove Dessert Bar,Indian,Expensive,Lower East Side,11:30,17:30,3,True
411,Irresistible Whiskey Bar,Mediterranean,Medium,St. George,08:30,22:30,0,False
412,Delectable Lounge,Italian,Cheap,Prospect Heights,10:00,23:00,3,False
413,Classic BBQ Joint,French,Medium,Annadale,12:30,22:30,2,True
414,Sapphire Kitchenette,Thai,Cheap,Bushwick,08:30,23:00,1,True
415,Sunny Cider House,French,Expensive,New Dorp,12:30,18:30,5,False
416,Golden Gate Hideaway,Chinese,Expensive,Stapleton,11:30,17:00,0,False
417,Summit Cereal Bar,French,Expensive,Sunnyside,08:00,18:30,2,True
418,Elegant Vietnamese Restaurant,American,Cheap,St. George,08:00,21:00,0,True
419,Summit Juice Joint,Indian,Cheap,Brooklyn Heights,10:00,17:30,2,False
420,Gastronomic Diner,Mediterranean,Cheap,Long Island City,10:30,23:30,3,False
421,Ivy League Cantina,American,Cheap,Brooklyn Heights,09:00,23:30,1,False
422,Aromatic Parlor,American,Expensive,Tribeca,12:30,19:30,2,False
423,Summit Gastropub,Chinese,Cheap,Westerleigh,11:00,19:00,4,False
424,Juicy Taphouse,American,Cheap,Upper West Side,10:30,20:00,2,False
425,Flavorful Gastropub,French,Medium,Pelham Bay,08:00,19:00,0,True
426,Delicious Noodle House,Indian,Medium,Flushing,10:30,20:30,1,True
427,Pineapple Eatery,Indian,Cheap,Jackson Heights,12:30,20:00,4,False
428,Satisfying Brewpub,Mediterranean,Expensive,Park Slope,12:30,22:30,0,False
429,Foggy House,Japanese,Cheap,Hunts Point,11:00,21:00,1,False
430,Fusion Winery,Indian,Expensive,Prospect Heights,11:30,19:30,3,False
431,Sunny Frozen Yogurt Shop,Indian,Cheap,St. George,09:30,23:00,0,False
432,Ivy League Wine Bar,Mexican,Cheap,Jamaica,10:00,17:30,4,False
433,Palm Tree Brasserie,Japanese,Cheap,Fordham,10:30,19:00,0,False
434,Palatable Cafe,Italian,Expensive,Greenwich Village,08:30,18:30,5,False
435,Savory Bagel Shop,Italian,Medium,Eltingville,09:00,18:00,4,False
436,Coastal Bakery,Japanese,Cheap,Woodside,12:00,19:30,2,True
437,Oceanfront Cider House,Mexican,Expensive,Belmont,10:00,22:00,1,False
438,Rainforest Dive Bar,Indian,Cheap,Prospect Heights,09:00,21:00,5,True
439,Seaside Cantina,Chinese,Cheap,Greenpoint,11:00,17:00,2,False
440,Aromatic Eatery,Italian,Medium,Belmont,10:30,23:00,4,False
441,Family Whiskey Bar,Chinese,Expensive,Long Island City,10:00,19:30,3,True
442,Fusion Place,Mediterranean,Expensive,Fordham,08:00,16:00,2,True
443,Fresh Parlor,Chinese,Expensive,Greenpoint,09:00,17:30,2,True
444,Brick Oven Tapas Bar,French,Cheap,Upper East Side,12:30,20:00,2,False
445,Quaint Bistro,Thai,Expensive,Woodside,08:30,19:30,4,True
446,Zesty Dive Bar,French,Expensive,Hunts Point,10:00,16:00,2,True
447,Hearty Cafeteria,Chinese,Medium,Bushwick,12:30,19:00,5,True
448,Golden Harvest Oyster House,Japanese,Expensive,Great Kills,11:30,21:00,4,False
449,Tasty Palace,French,Expensive,Lower East Side,11:30,20:00,3,False
450,Orchid Chocolate Shop,Japanese,Expensive,Astoria,11:00,18:00,1,False
451,Delicious Doughnut Shop,Chinese,Expensive,Morris Park,09:00,17:30,1,True
452,Sizzle Yogurt Shop,American,Expensive,Westerleigh,09:30,22:30,1,True
453,Retro Cake Shop,Japanese,Medium,Brooklyn Heights,10:30,23:00,3,False
454,Under the Stars Bakery,Chinese,Expensive,Morris Park,08:30,20:30,4,False
455,Mouthwatering Bakery,Indian,Expensive,Tribeca,11:30,18:30,5,True
456,Bamboo Grove Winery,Mediterranean,Cheap,Brooklyn Heights,12:30,20:00,1,False
457,Irresistible Doughnut Shop,American,Expensive,St. George,10:00,17:30,5,False
458,Golden Gate Smoothie Bar,Chinese,Medium,Flushing,09:00,16:30,0,True
459,Under the Stars Pub,Thai,Medium,Long Island City,09:30,19:30,5,True
460,Highlands Tearoom,Chinese,Cheap,SoHo,11:30,21:30,0,True
461,Valley Taproom,Mexican,Expensive,Woodside,12:30,20:00,5,False
462,Mouthwatering Court,Thai,Medium,Great Kills,12:30,18:00,0,True
463,Island Bar & Grill,American,Expensive,Greenpoint,11:30,22:00,3,True
464,Classic Bar & Grill,Japanese,Medium,Tottenville,09:30,15:00,4,False
465,Tender Burger Joint,Japanese,Cheap,St. George,08:00,15:00,2,True
466,Flavorful Alehouse,Thai,Medium,Jackson Heights,10:00,17:00,5,True
467,Underground Eatery,Mediterranean,Medium,Flatbush,09:00,15:30,0,True
468,Exquisite Taproom,Indian,Expensive,Sunnyside,10:00,20:30,3,False
469,Tender House,American,Medium,Pelham Bay,08:30,16:00,5,False
470,Hilltop Sushi Bar,Mediterranean,Cheap,Brooklyn Heights,08:00,18:00,1,False
471,Tasty Tea Room,Italian,Medium,New Dorp,09:00,20:00,0,False
472,Pineapple Yogurt Shop,Indian,Expensive,Greenpoint,09:30,18:30,1,False
473,Harbor View Kitchenette,Chinese,Cheap,Tompkinsville,12:30,23:30,5,True
474,Zesty Winery,American,Medium,Belmont,12:00,22:30,4,True
475,Flavorful Cuisine,American,Medium,Belmont,12:30,19:00,3,True
476,Satisfying Deli,Thai,Medium,Prospect Heights,08:30,19:00,5,True
477,Fresh Distillery,Mexican,Medium,Upper East Side,09:30,15:30,2,True
478,Oceanfront Eatery,Italian,Expensive,Westerleigh,08:30,22:00,2,True
479,Gastronomic Restaurant,Chinese,Medium,Long Island City,09:30,18:30,5,True
480,Royal Cantina,Italian,Cheap,Williamsburg,09:00,18:30,4,False
481,Homestyle Cafeteria,Mexican,Medium,Hunts Point,10:30,18:30,4,False
482,Sensational Dessert Bar,Mexican,Expensive,Jamaica,11:00,17:00,0,False
483,Homestyle Cake Shop,Mediterranean,Cheap,Ridgewood,09:00,23:30,0,False
484,Mouthwatering Brewery,American,Cheap,Eltingville,09:30,21:30,1,True
485,Zesty Cake Shop,Thai,Expensive,Upper East Side,08:00,20:30,2,True
486,Tasty Yogurt Shop,Mediterranean,Medium,Mott Haven,11:30,17:00,4,False
487,Hilltop Alehouse,Chinese,Cheap,Woodside,08:30,20:30,0,False
488,Zesty Smoothie Shop,Chinese,Medium,SoHo,10:00,20:00,4,False
489,Classic Dive Bar,American,Cheap,Ridgewood,10:30,17:30,5,False
490,Zesty Noodle House,Thai,Expensive,Stapleton,11:00,23:30,3,True
491,Fresh Noodle House,Indian,Expensive,Williamsburg,10:30,22:00,3,False
492,Satisfying Grill & Bar,Chinese,Medium,Midtown Manhattan,08:30,15:00,5,False
493,Tropical Doughnut Shop,French,Expensive,Lower East Side,11:30,22:00,0,False
494,Zen Oyster House,Italian,Cheap,Greenpoint,08:30,20:30,4,True
495,Valley Chophouse,Thai,Cheap,New Dorp,12:30,21:30,5,False
496,Charming Sushi Bar,American,Cheap,Stapleton,09:00,17:00,4,False
497,Irresistible Chophouse,Chinese,Cheap,Flushing,11:00,21:00,5,True
498,Divine Dive Bar,Chinese,Cheap,Riverdale,11:00,20:00,2,True
499,Tropical Juice Bar,Indian,Expensive,Upper West Side,12:00,22:30,3,True
500,Scrumptious Brasserie,American,Cheap,Tottenville,08:00,22:30,3,True
501,Gastronomic Tiki Bar,Chinese,Cheap,Stapleton,08:30,16:30,0,False
502,Royal Joint,Mexican,Cheap,Forest Hills,10:00,19:30,3,True
503,Firehouse Gelato Shop,Japanese,Expensive,Prospect Heights,12:30,21:00,3,True
504,Authentic Pizzeria,Chinese,Expensive,Stapleton,12:30,21:30,3,False
505,Seaside Taco Shack,Italian,Expensive,Tribeca,08:30,20:30,0,False
506,Wholesome Court,French,Expensive,Belmont,10:30,19:00,5,False
507,Delicious Coffeehouse,Mediterranean,Medium,Mott Haven,11:00,18:00,0,False
508,Gourmet Tea Room,Japanese,Expensive,Soundview,08:30,18:30,0,False
509,Tasty Parlor,Mediterranean,Expensive,Throgs Neck,11:30,20:00,0,False
510,Royal Cereal Bar,Chinese,Cheap,Greenpoint,11:00,19:00,0,False
511,Sandy Beach Oyster House,Mexican,Expensive,Crown Heights,10:00,21:30,2,False
512,Serenity Tearoom,American,Medium,Eltingville,10:00,16:30,0,True
513,Authentic Brewery,Mediterranean,Cheap,Tottenville,12:00,23:30,5,False
514,Cozy Lounge,American,Medium,Soundview,08:00,14:30,4,True
515,Zen Ice Cream Parlor,Thai,Expensive,Westerleigh,11:00,20:30,1,True
516,Charming Brewery,American,Medium,Morris Park,09:00,20:30,2,True
517,Coastal Eatery,Thai,Medium,Stapleton,11:00,20:00,5,False
518,Sensational House,American,Medium,Stapleton,09:00,16:00,3,False
519,Mountain View Restaurant,Chinese,Expensive,Throgs Neck,11:00,23:30,3,False
520,Savor Candy Store,Japanese,Cheap,Sunnyside,11:00,22:30,1,False
521,Spicy Creamery,Chinese,Medium,Flushing,11:30,20:30,1,True
522,Mouthwatering Lounge,Thai,Medium,SoHo,10:30,23:00,1,True
523,Divine Grill & Bar,Mexican,Cheap,Crown Heights,08:00,22:30,5,False
524,Moonshine Joint,Chinese,Cheap,Mott Haven,09:00,20:30,5,False
525,Tasty Winery,Japanese,Expensive,Jackson Heights,11:00,20:30,2,True
526,Ivy League Tea Room,Italian,Expensive,Harlem,11:30,17:00,4,False
527,Underground Winery,Indian,Expensive,Williamsburg,09:00,23:00,5,True
528,Palatable Fish House,Italian,Medium,Westerleigh,08:30,21:30,2,True
529,Cherry Blossom Brasserie,Mexican,Expensive,Brooklyn Heights,10:00,19:30,5,True
530,Divine Joint,Japanese,Expensive,Crown Heights,11:00,22:00,2,False
531,Divine Smoothie Bar,Thai,Expensive,Midtown Manhattan,10:00,19:00,5,False
532,Serenity Cantina,Chinese,Expensive,New Dorp,09:00,20:00,0,True
533,Zesty Diner,Thai,Medium,Ridgewood,09:30,23:00,3,True
534,Charming Dessert Bar,Indian,Medium,Hunts Point,08:00,18:30,1,True
535,Yummy Fish House,Chinese,Medium,Stapleton,12:00,21:00,1,False
536,Seaside Pub,Italian,Expensive,Hunts Point,12:30,18:30,2,True
537,Island Ramen House,Mexican,Medium,Harlem,09:00,15:00,4,False
538,Vintage Pub,Chinese,Medium,Annadale,09:30,19:30,5,False
539,Elegant Cantina,Mexican,Expensive,Eltingville,12:30,18:00,2,False
540,Underground Brewery,Japanese,Cheap,Park Slope,11:00,18:30,0,True
541,Fresh Burger Joint,Mexican,Expensive,Upper East Side,10:30,20:30,3,True
542,Zesty Cookie Shop,Indian,Medium,Sunnyside,08:00,20:30,1,True
543,Golden Harvest Chophouse,Thai,Cheap,Throgs Neck,10:30,18:30,2,True
544,Zesty Doughnut Shop,American,Medium,Tompkinsville,10:30,23:30,4,True
545,Fusion Eatery,Indian,Expensive,Jackson Heights,10:30,18:30,2,False
546,Quaint House,French,Cheap,Tompkinsville,11:30,17:00,0,True
547,Valley Tavern,Italian,Medium,Chelsea,10:30,21:00,4,False
548,Quaint Grill,Italian,Medium,Jackson Heights,12:30,23:00,4,False
549,Bamboo Grove Spot,Chinese,Expensive,Belmont,08:30,21:00,2,True
550,Palm Tree Whiskey Bar,Thai,Cheap,Mott Haven,09:00,22:00,3,False
551,Ivy League Court,French,Medium,Prospect Heights,10:00,19:00,0,False
552,Spicy Ice Cream Parlor,Japanese,Medium,Jackson Heights,09:30,23:00,2,False
553,Pineapple Cocktail Lounge,Mediterranean,Cheap,Prospect Heights,10:00,16:30,2,False
554,Savory Cafe,Mexican,Expensive,Sunnyside,08:30,18:30,4,False
555,Royal House,French,Cheap,Forest Hills,09:00,23:30,2,True
556,Crisp Winery,Mexican,Cheap,Astoria,10:00,22:00,3,True
557,Sandy Beach Winery,Thai,Cheap,Forest Hills,09:00,21:00,5,False
558,Flavorful Grill & Bar,French,Cheap,Mott Haven,10:00,21:30,4,False
559,Rooftop Palace,Chinese,Medium,Jackson Heights,10:30,16:00,2,False
560,Mouthwatering Gastropub,Mediterranean,Cheap,Stapleton,12:30,20:00,4,True
561,Delectable Grill & Bar,French,Expensive,Bedford-Stuyvesant,09:30,23:00,2,True
562,Island Gelato Shop,American,Expensive,Greenwich Village,12:30,23:00,1,False
563,Wholesome House,Indian,Expensive,Greenpoint,10:30,18:00,0,False
564,Pineapple Eatery,American,Expensive,Soundview,10:00,22:30,3,False
565,Royal Tavern,Mediterranean,Cheap,Upper East Side,10:30,18:00,2,True
566,Coconut Cove Gelato Shop,Italian,Cheap,Great Kills,11:30,21:00,1,True
567,Orchid Winery,Italian,Medium,Riverdale,08:30,18:00,2,False
568,Valley Steakhouse,Mexican,Expensive,Astoria,09:30,16:00,1,True
569,Blue Bayou Pastry Shop,Chinese,Medium,Long Island City,12:30,23:30,2,False
570,Aromatic Coffeehouse,Mediterranean,Medium,Fordham,10:30,22:00,5,False
571,Moonshine Gastropub,Mexican,Cheap,Eltingville,12:00,18:30,4,True
572,Countryside House,Japanese,Cheap,Fordham,08:30,15:30,1,False
573,Scrumptious Court,American,Medium,Bushwick,09:00,15:00,5,True
574,Charming Cafe,American,Cheap,Park Slope,12:00,19:00,1,True
575,Homestyle Pub,French,Cheap,Flatbush,10:00,23:30,4,False
576,Delectable Steakhouse,French,Medium,Tompkinsville,08:30,16:00,2,False
577,Sunny Cafe,American,Medium,Flushing,12:30,19:00,2,True
578,Tender Yogurt Shop,Chinese,Medium,Astoria,11:00,22:30,3,True
579,Bamboo Grove Sushi Bar,Italian,Expensive,Williamsburg,12:30,22:30,1,True
580,Underground Doughnut Shop,French,Cheap,Tribeca,10:00,23:30,0,True
581,Charming Bakery,Indian,Expensive,Park Slope,11:30,17:00,2,True
582,Charming Bar & Grill,American,Expensive,Jackson Heights,11:00,22:30,1,True
583,Orchid Vineyard,Mexican,Expensive,Lower East Side,08:30,21:00,0,True
584,Authentic Smoothie Bar,American,Cheap,Upper West Side,09:00,16:00,5,True
585,Foggy Cookie Shop,Italian,Cheap,Bushwick,11:30,17:30,0,False
586,Gastronomic Lounge,Japanese,Cheap,Woodside,10:30,22:30,4,True
587,Hilltop Taco Shack,Italian,Cheap,Prospect Heights,12:00,18:30,2,True
588,Savory Fish House,Thai,Expensive,Throgs Neck,10:00,20:00,0,False
589,Tasty Distillery,French,Expensive,Long Island City,12:30,19:00,3,True
590,Rooftop Winery,Italian,Medium,New Dorp,10:30,19:30,3,True
591,Charming Inn,Italian,Medium,Bedford-Stuyvesant,09:30,19:00,1,False
592,Elegant Yogurt Shop,Mediterranean,Expensive,Riverdale,08:30,14:00,0,False
593,Fresh Brewery,Japanese,Cheap,Astoria,08:00,17:30,3,True
594,Zesty Noodle House,French,Cheap,Chelsea,12:30,23:30,2,False
595,Foggy Noodle House,French,Cheap,Riverdale,11:30,20:00,0,True
596,Flavorful Fish House,American,Medium,Hunts Point,11:00,17:30,2,False
597,Heavenly Juice Bar,Mediterranean,Expensive,Fordham,09:00,21:00,2,False
598,Spicy Pastry Shop,Mexican,Cheap,Upper East Side,10:30,18:30,4,False
599,Mountain View Tavern,Indian,Medium,Pelham Bay,12:30,21:00,2,False
600,Rustic Smoothie Shop,Thai,Cheap,Forest Hills,08:30,20:00,4,False
601,Wholesome Candy Store,Mexican,Cheap,Greenpoint,09:30,21:00,0,False
602,Sizzle Grill,Mexican,Medium,Upper East Side,11:00,17:00,4,False
603,Harbor View Winery,Japanese,Expensive,Upper West Side,08:00,16:00,3,False
604,Rustic House,French,Expensive,Soundview,09:00,17:30,0,True
605,Delicious Kitchenette,Chinese,Expensive,Astoria,09:00,16:30,1,False
606,Palm Tree Noodle House,Italian,Expensive,Harlem,09:00,18:00,5,False
607,Irresistible Chophouse,Japanese,Medium,Prospect Heights,12:30,18:30,4,True
608,Countryside Taphouse,American,Expensive,Bedford-Stuyvesant,08:00,19:00,5,True
609,Sizzling Cantina,Japanese,Medium,Bushwick,12:30,19:00,2,False
610,Orchid Gastropub,Chinese,Cheap,Eltingville,12:00,19:30,1,False
611,Rustic Creamery,Thai,Expensive,Harlem,11:00,21:30,3,True
612,Homestyle Sushi Bar,American,Cheap,Crown Heights,09:30,18:30,2,True
613,Flavorful Distillery,Italian,Expensive,Forest Hills,12:00,18:30,0,True
614,Tender Deli,French,Expensive,Tottenville,12:00,19:00,0,True
615,Mountain View Cocktail Lounge,Chinese,Cheap,Eltingville,09:00,18:30,1,True
616,Sunset Grill,Japanese,Cheap,Eltingville,09:30,20:30,1,True
617,Moonshine Pizzeria,Thai,Cheap,Jamaica,09:30,15:00,3,False
618,Oceanic Place,Indian,Expensive,Westerleigh,08:00,20:00,4,True
619,Harbor View Noodle House,Thai,Expensive,Lower East Side,11:00,18:30,4,True
620,Valley Deli,Mexican,Cheap,Astoria,08:30,21:00,2,False
621,Fusion Gastropub,Japanese,Cheap,Great Kills,12:00,23:30,1,False
622,Oceanfront Doughnut Shop,Italian,Medium,Jackson Heights,11:00,23:00,2,True
623,Spice Route Whiskey Bar,Thai,Expensive,Fordham,09:00,16:00,3,True
624,Serenity Tea Room,Mexican,Medium,Soundview,08:30,16:30,4,False
625,Savory Place,French,Expensive,Fordham,11:00,17:30,5,True
626,Authentic Juice Joint,Indian,Medium,Fordham,12:00,21:30,1,True
627,Lakefront Vineyard,Mediterranean,Expensive,Upper East Side,09:00,15:30,5,False
628,Rustic Tiki Bar,Thai,Expensive,Greenpoint,09:30,22:00,0,False
629,Tropical Oyster House,Indian,Cheap,Mott Haven,10:00,19:00,2,True
630,Rainforest Brasserie,Indian,Medium,Sunnyside,10:30,20:30,0,True
631,Classic Gelato Shop,Thai,Cheap,Hunts Point,09:00,15:30,0,True
632,Savor Chophouse,Chinese,Medium,Pelham Bay,10:00,17:00,1,False
633,Tropical Wine Bar,Mediterranean,Cheap,Tribeca,08:30,22:00,0,True
634,Mountain View Cantina,Italian,Expensive,Chelsea,08:30,23:30,0,True
635,Authentic Tapas Bar,Japanese,Medium,Park Slope,10:00,17:30,2,True
636,Palm Tree Eatery,Italian,Expensive,Jackson Heights,11:00,18:00,1,True
637,Zesty Taco Shack,Japanese,Cheap,Tribeca,08:30,19:30,2,False
638,Mountain View Alehouse,Mediterranean,Expensive,Williamsburg,11:30,23:30,5,False
639,Highlands Grill,Thai,Medium,Greenwich Village,09:00,19:00,4,True
640,Harbor View Pastry Shop,Japanese,Medium,Bushwick,11:30,21:30,2,False
641,Rooftop Eatery,Italian,Cheap,Ridgewood,12:00,21:30,3,True
642,Flavorful Juice Bar,Japanese,Medium,Great Kills,10:30,17:30,2,False
643,Highlands Steakhouse,Mexican,Cheap,Hunts Point,08:00,16:00,5,False
644,Divine Smoothie Shop,American,Cheap,Tottenville,10:30,18:30,2,False
645,Aromatic Burger Joint,French,Expensive,Astoria,09:30,16:30,2,True
646,Seaside Candy Store,Thai,Cheap,Annadale,10:00,22:30,4,True
647,Savory Crepery,Thai,Medium,Woodside,10:30,16:30,2,True
648,Gastronomic Dessert Bar,Mexican,Cheap,Harlem,10:00,21:00,5,True
649,Moonshine Alehouse,Indian,Expensive,Brooklyn Heights,10:30,21:30,2,True
650,Spice Route Cafeteria,Mediterranean,Medium,Tottenville,09:00,15:30,2,False
651,Savory Parlor,Chinese,Cheap,Park Slope,08:30,15:00,5,True
652,Exquisite Yogurt Shop,Japanese,Medium,Throgs Neck,08:30,20:30,3,False
653,Moonshine Alehouse,Thai,Cheap,Belmont,10:30,22:00,2,True
654,Savory Sushi Bar,American,Expensive,Morris Park,10:30,20:00,0,False
655,Retro Gelato Shop,Indian,Expensive,Harlem,11:30,17:00,5,True
656,Sapphire Bagel Shop,French,Medium,Great Kills,08:30,17:00,5,False
657,Savory Gelato Shop,Thai,Medium,Eltingville,10:00,20:30,2,False
658,Zen Speakeasy,French,Cheap,Throgs Neck,08:30,15:30,0,False
659,Pineapple Taco Shack,Mediterranean,Expensive,Tribeca,08:30,16:30,1,False
660,Zesty Chocolate Shop,French,Cheap,St. George,11:30,19:00,4,True
661,Zesty Cantina,Mexican,Cheap,Forest Hills,08:30,22:30,4,True
662,Riverside Bistro,Mediterranean,Medium,Greenwich Village,10:30,19:30,0,True
663,Serenity Kitchen,French,Cheap,Woodside,08:30,18:00,1,True
664,Flavorful Tearoom,French,Expensive,Brooklyn Heights,09:00,16:30,1,True
665,Gastronomic Cafeteria,Chinese,Cheap,Morris Park,12:30,18:30,3,True
666,Sapphire Wine Bar,Mexican,Medium,Long Island City,09:30,17:00,3,False
667,Countryside Crepery,Mediterranean,Expensive,Greenpoint,11:00,20:30,3,False
668,Tropical Cookie Shop,American,Medium,Astoria,11:00,21:30,1,False
669,Valley Gastropub,Italian,Cheap,Pelham Bay,10:00,20:00,3,True
670,Aromatic Cantina,Indian,Cheap,St. George,12:30,18:00,2,True
671,Golden Harvest Smokehouse,Indian,Cheap,Great Kills,09:30,20:00,5,True
672,Wholesome Restaurant,Japanese,Medium,Bedford-Stuyvesant,09:00,22:30,0,False
673,Satisfying Gastropub,Chinese,Expensive,Upper West Side,09:30,22:30,5,False
674,Sweet Pea Oyster Bar,American,Medium,Ridgewood,10:00,21:00,1,False
675,Mouthwatering Diner,French,Expensive,Tribeca,09:00,22:00,2,True
676,Palatable Tearoom,Italian,Cheap,Brooklyn Heights,10:00,20:00,0,False
677,Countryside Taproom,Mediterranean,Cheap,Pelham Bay,09:30,19:00,5,False
678,Retro Noodle House,Indian,Medium,Ridgewood,08:30,14:30,4,True
679,Flavorful Tavern,Italian,Expensive,SoHo,09:30,18:30,2,False
680,Oceanfront Joint,Chinese,Cheap,Soundview,10:30,17:30,0,False
681,Brick Oven Brewpub,Italian,Medium,Tompkinsville,11:30,23:30,5,True
682,Moonshine House,Mexican,Medium,Tompkinsville,10:30,19:00,0,True
683,Royal Fish House,Indian,Medium,Fordham,09:00,19:00,3,False
684,Heavenly Tea Room,Japanese,Cheap,Jamaica,08:30,23:00,2,False
685,Urban Cafeteria,Thai,Medium,Jamaica,09:30,15:00,1,True
686,Spice Route Crepery,Thai,Expensive,Fordham,08:00,18:30,3,True
687,Sensational Cafe,American,Expensive,Woodside,11:00,23:00,5,True
688,Gastronomic Chophouse,Italian,Expensive,Upper East Side,10:30,23:00,4,True
689,Homestyle Parlor,Indian,Medium,SoHo,12:00,19:00,3,True
690,Coastal Frozen Yogurt Shop,Thai,Medium,Bushwick,10:00,18:30,2,False
691,Hilltop Taco Shack,American,Cheap,Tribeca,08:00,17:30,4,True
692,Mountain View Bakery Cafe,Indian,Medium,Brooklyn Heights,12:30,23:30,4,False
693,Mouthwatering Cake Shop,American,Expensive,Flatbush,09:00,15:00,2,True
694,Classic Lounge,Japanese,Expensive,Annadale,08:30,21:00,1,False
